장르,순번,보조장르,원문,변주(초안),채택,수정안,파일명
C,01,H,"아이고, 무릎이야.","아이고, 무릎이야... 요즘 왜 이러나.",,,C_H_01.m4a
C,01,R,"아이고, 무릎이야.","아이고, 무릎이 말이야.",,,C_R_01.m4a
C,02,H,그놈이 또 여기 왔었네.,그놈이... 또 여기 왔었네. 흔적만 남기고.,,,C_H_02.m4a
C,02,R,그놈이 또 여기 왔었네.,그놈이 또 여기 왔었네요.,,,C_R_02.m4a
C,03,H,저거. 안 봤으면 잘 보고.,저거. 안 봤으면... 잘 봐 둬요.,,,C_H_03.m4a
C,03,R,저거. 안 봤으면 잘 보고.,"저거, 한 번 잘 봐 봐요.",,,C_R_03.m4a
C,04,H,며칠째예요.,"며칠째인지, 이젠 나도 몰라요.",,,C_H_04.m4a
C,04,R,며칠째예요.,벌써 며칠째예요.,,,C_R_04.m4a
C,05,H,"밥은 주는데, 얼굴을 안 비쳐.",밥은 주는데... 얼굴은 안 비쳐. 왜 그런지.,,,C_H_05.m4a
C,05,R,"밥은 주는데, 얼굴을 안 비쳐.","밥은 주는데, 자꾸 얼굴을 안 비쳐.",,,C_R_05.m4a
C,06,H,그쪽에서는 못 봤어요? 그 놈.,그쪽에서는... 못 봤죠? 그 놈.,,,C_H_06.m4a
C,06,R,그쪽에서는 못 봤어요? 그 놈.,혹시 그쪽에서 못 봤어요? 그 놈 말이야.,,,C_R_06.m4a
C,07,H,지가 뭐 대단한 놈인 줄 알고.,"지가 뭐, 대단한 놈인 줄 아나 봐.",,,C_H_07.m4a
C,07,R,지가 뭐 대단한 놈인 줄 알고.,지가 뭐 그리 대단한 놈인 줄 알고 있는 거야.,,,C_R_07.m4a
C,08,H,밥그릇도 안 건드리고. 그러면서 오기는 와요.,밥그릇도 안 건드리고... 그런데도 오긴 와요.,,,C_H_08.m4a
C,08,R,밥그릇도 안 건드리고. 그러면서 오기는 와요.,밥그릇도 안 건드리고 자꾸 오기는 와요.,,,C_R_08.m4a
C,09,H,"아이 씨, 거미줄이야.","아이 씨... 이게 거미줄이야, 뭐야.",,,C_H_09.m4a
C,09,R,"아이 씨, 거미줄이야.","아이 씨, 거미줄이 뭐 하는 짓이야.",,,C_R_09.m4a
C,10,H,웃지 마요. 나 심각해.,웃지 마요. 나... 진짜 심각하다니까.,,,C_H_10.m4a
C,10,R,웃지 마요. 나 심각해.,웃지 마요. 나 정말 심각해.,,,C_R_10.m4a
C,11,H,…아까도 없었는데.,...아까도 없었는데. 이상하네.,,,C_H_11.m4a
C,11,R,…아까도 없었는데.,…아까도 없었는데 말이야.,,,C_R_11.m4a
C,12,H,…또 그 자리에 없네.,"...또, 그 자리에 없네.",,,C_H_12.m4a
C,12,R,…또 그 자리에 없네.,…또 그 자리에 없네.,,,C_R_12.m4a
C,13,H,매번 이 시간엔 지나가더니.,매번 이 시간엔... 지나가던 사람인데.,,,C_H_13.m4a
C,13,R,매번 이 시간엔 지나가더니.,매번 이 시간엔 지나가더니 말이야.,,,C_R_13.m4a
C,14,H,이거 봐요. 안 찢어진 거.,"이거 봐요. 안 찢어졌잖아요, 아직.",,,C_H_14.m4a
C,14,R,이거 봐요. 안 찢어진 거.,이거 봐요. 이건 안 찢어진 거.,,,C_R_14.m4a
C,15,H,"이 사람, 우리 할아버지. 3년 전에 갔어요.","이 사람... 우리 할아버지예요. 3년 전에, 갔어요.",,,C_H_15.m4a
C,15,R,"이 사람, 우리 할아버지. 3년 전에 갔어요.","이 사람, 우리 할아버지야. 3년 전에 갔어요.",,,C_R_15.m4a
C,16,H,고양이는 그냥 옆에 있던 거예요.,고양이는... 그냥 옆에 있었던 거예요.,,,C_H_16.m4a
C,16,R,고양이는 그냥 옆에 있던 거예요.,고양이는 그냥 옆에 있던 거였어요.,,,C_R_16.m4a
C,17,H,"…그냥, 붙여요. 매번.","...그냥 붙여요. 매번, 여기다.",,,C_H_17.m4a
C,17,R,"…그냥, 붙여요. 매번.","…그냥, 자꾸 붙여요. 매번.",,,C_R_17.m4a
C,18,H,이거 뗄 때 됐는데. 또 새 걸로 붙여야겠네.,이거 뗄 때 됐는데... 또 새 걸로 붙여야겠네.,,,C_H_18.m4a
C,18,R,이거 뗄 때 됐는데. 또 새 걸로 붙여야겠네.,이거 뗄 때도 됐는데. 또 새 걸로 붙여야겠네.,,,C_R_18.m4a
H,01,C,"저기 유리에 뭐 붙어 있던 거, 읽으셨어요?","저기 유리에 뭐 붙어 있던 거, 읽으셨어요… 뭐, 안 읽으셨어도 상관없고요.",,,H_C_01.m4a
H,01,R,"저기 유리에 뭐 붙어 있던 거, 읽으셨어요?","저기 유리에 뭐 붙어 있던 거, 혹시 읽으셨어요?",,,H_R_01.m4a
H,02,C,"저거 아무도 못 찾아요. 그런 거 찾는 사람, 없어요.","저거 아무도 못 찾아요. 뭐, 찾아봤자 상 주는 것도 아니고요.",,,H_C_02.m4a
H,02,R,"저거 아무도 못 찾아요. 그런 거 찾는 사람, 없어요.",저거 아무도 못 찾아요. 그런 걸 찾는 사람이 있을 리가 없죠.,,,H_R_02.m4a
H,03,C,"아까 저 고양이, 어느 쪽으로 뛰어갔는지 보셨어요?","아까 그 고양이 말이에요, 어디로 튀었는지… 저도 못 봤으니까 뭐.",,,H_C_03.m4a
H,03,R,"아까 저 고양이, 어느 쪽으로 뛰어갔는지 보셨어요?","아까 저 고양이, 어느 쪽으로 뛰어갔는지 보이셨나요?",,,H_R_03.m4a
H,04,C,"그 고양이, 당신 보고 놀란 게 아니었을 거예요.","그 고양이, 당신 보고 놀란 건 아니었을 거예요, 아마.",,,H_C_04.m4a
H,04,R,"그 고양이, 당신 보고 놀란 게 아니었을 거예요.",그 고양이가 당신 보고 놀란 건 아닐 거 같아요.,,,H_R_04.m4a
