층,배합ID,사건,태도,배합이름,순번,대사,최대길이(초),감정태그,파일명
사건,H,공포,(중립),,1,,5,,vo_ev_H_1.mp3
사건,H,공포,(중립),,2,,5,,vo_ev_H_2.mp3
사건,H,공포,(중립),,3,,5,,vo_ev_H_3.mp3
사건,R,로맨스,(중립),,1,,5,,vo_ev_R_1.mp3
사건,R,로맨스,(중립),,2,,5,,vo_ev_R_2.mp3
사건,R,로맨스,(중립),,3,,5,,vo_ev_R_3.mp3
사건,C,코미디,(중립),,1,,5,,vo_ev_C_1.mp3
사건,C,코미디,(중립),,2,,5,,vo_ev_C_2.mp3
사건,C,코미디,(중립),,3,,5,,vo_ev_C_3.mp3
사건,F,판타지,(중립),,1,,5,,vo_ev_F_1.mp3
사건,F,판타지,(중립),,2,,5,,vo_ev_F_2.mp3
사건,F,판타지,(중립),,3,,5,,vo_ev_F_3.mp3
배합,H-H,공포,공포,,1,,5,,vo_H-H_1.mp3
배합,H-H,공포,공포,,2,,5,,vo_H-H_2.mp3
배합,H-H,공포,공포,,3,,5,,vo_H-H_3.mp3
배합,H-H,공포,공포,,cb,,4,,vo_H-H_cb.mp3
배합,H-H,공포,공포,,cb_fb,,4,,vo_H-H_cb_fb.mp3
배합,H-R,공포,로맨스,,1,,5,,vo_H-R_1.mp3
배합,H-R,공포,로맨스,,2,,5,,vo_H-R_2.mp3
배합,H-R,공포,로맨스,,3,,5,,vo_H-R_3.mp3
배합,H-R,공포,로맨스,,cb,,4,,vo_H-R_cb.mp3
배합,H-R,공포,로맨스,,cb_fb,,4,,vo_H-R_cb_fb.mp3
배합,H-C,공포,코미디,,1,,5,,vo_H-C_1.mp3
배합,H-C,공포,코미디,,2,,5,,vo_H-C_2.mp3
배합,H-C,공포,코미디,,3,,5,,vo_H-C_3.mp3
배합,H-C,공포,코미디,,cb,,4,,vo_H-C_cb.mp3
배합,H-C,공포,코미디,,cb_fb,,4,,vo_H-C_cb_fb.mp3
배합,H-F,공포,판타지,,1,,5,,vo_H-F_1.mp3
배합,H-F,공포,판타지,,2,,5,,vo_H-F_2.mp3
배합,H-F,공포,판타지,,3,,5,,vo_H-F_3.mp3
배합,H-F,공포,판타지,,cb,,4,,vo_H-F_cb.mp3
배합,H-F,공포,판타지,,cb_fb,,4,,vo_H-F_cb_fb.mp3
배합,R-H,로맨스,공포,경계하는 그리움,1,,5,,vo_R-H_1.mp3
배합,R-H,로맨스,공포,경계하는 그리움,2,,5,,vo_R-H_2.mp3
배합,R-H,로맨스,공포,경계하는 그리움,3,,5,,vo_R-H_3.mp3
배합,R-H,로맨스,공포,경계하는 그리움,cb,...아직 그 {noun} 안 왔네요.,4,,vo_R-H_cb.mp3
배합,R-H,로맨스,공포,경계하는 그리움,cb_fb,...아직 안 오네요.,4,,vo_R-H_cb_fb.mp3
배합,R-R,로맨스,로맨스,,1,,5,,vo_R-R_1.mp3
배합,R-R,로맨스,로맨스,,2,,5,,vo_R-R_2.mp3
배합,R-R,로맨스,로맨스,,3,,5,,vo_R-R_3.mp3
배합,R-R,로맨스,로맨스,,cb,,4,,vo_R-R_cb.mp3
배합,R-R,로맨스,로맨스,,cb_fb,,4,,vo_R-R_cb_fb.mp3
배합,R-C,로맨스,코미디,,1,,5,,vo_R-C_1.mp3
배합,R-C,로맨스,코미디,,2,,5,,vo_R-C_2.mp3
배합,R-C,로맨스,코미디,,3,,5,,vo_R-C_3.mp3
배합,R-C,로맨스,코미디,,cb,,4,,vo_R-C_cb.mp3
배합,R-C,로맨스,코미디,,cb_fb,,4,,vo_R-C_cb_fb.mp3
배합,R-F,로맨스,판타지,,1,,5,,vo_R-F_1.mp3
